evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new,isol_or_rpt,num_per_family,emergence_s,picktime_SNR,Regolith_Temp_K,Rock_Temp_K,interval_day_number,diurnal_interval,duration_s,PGV,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg
761216-06-M3,761116-16-M1,4,1976-12-16 06:44:13.330328,0.9517555880757546,0.0510204081632653,3,35,A,AA,repeating,6,22.114627,1976-12-16 06:44:13.381348,96.4613812933926,235.4020719400889,4.788522932268519,night5,443.500000129784,0.0258625176358757,184.6888858545936,1.1686209889450945,113.0191022185801,0.1171365349962212
770114-18-M1,761116-16-M1,4,1977-01-14 18:41:55.543086,0.8935161647462018,0.0,3,35,A,AA,repeating,6,22.1466,1977-01-14 18:41:55.543086,96.83546539004443,236.1881980850667,4.661927582013889,night6,219.50000012974343,0.0281801611722629,191.18329833928308,2.580457951469237,167.37315505272986,0.0983541227006898
770413-07-M1,761116-16-M1,4,1977-04-13 07:37:34.412398,0.9063277701482876,0.1020408163265306,3,35,A,AA,repeating,6,22.027552,1977-04-13 07:37:34.514439,96.9165329055111,236.02979935826667,4.544323083784722,night9,166.80000012974642,0.026694580032074,217.5136843472608,43.402612939155965,107.8791817092629,0.0033854531288253
761015-09-M1,770112-06-M1,1,1976-10-15 09:10:51.700569,0.914470367009332,-0.0340136054421768,3,35,A,AA,repeating,6,20.452042,1976-10-15 09:10:51.666555,106.76172840333334,248.062074084,2.0700424369791666,night3,600.0,0.0222980058471804,260.50622882080194,3.3621977990852514,352.6245654220936,0.181345627328484
761113-23-M2,770112-06-M1,1,1976-11-13 23:35:55.946259,0.9054283132216217,3.5204081632653064,3,35,B,AA,repeating,6,16.900681,1976-11-13 23:35:59.466667,106.8067061728148,248.72804740737777,2.092702160497685,night4,290.70000012974924,0.0223947814241075,351.19611527855386,0.0734143965040015,250.91635421354405,0.0241859904142445
761213-14-M3,770112-06-M1,1,1976-12-13 14:43:20.273130,0.955845162115948,2.5935374149659864,3,35,B,AA,repeating,6,17.840817,1976-12-13 14:43:22.866667,106.8290893826963,249.20863407404445,2.1212716049421294,night5,341.4000001297608,0.0219882447714106,137.96702649675925,2.4655777471396974,237.67543566303564,0.007984564512846
770112-06-M1,770112-06-M1,1,1977-01-12 06:53:45.731318,1.0,0.0,3,35,A,AA,repeating,6,39.420409,1977-01-12 06:53:45.731318,106.5710569394074,249.16105693940744,2.170147353217593,night6,339.6000001297604,0.0245165334415192,135.5933897834707,2.0788511919179737,328.0461122657683,3.390871980521683
770210-22-M1,770112-06-M1,1,1977-02-10 22:29:32.208879,0.9744843325077832,2.5510204081632657,3,35,A,AA,repeating,6,36.89762,1977-02-10 22:29:34.759899,106.26149570968887,248.8118696371111,2.234082869201389,night7,278.80000012974654,0.0270239407648757,160.2772635964949,0.4229728239094549,243.43272966055616,0.030214423829611
770411-01-M1,770112-06-M1,1,1977-04-11 01:09:44.705759,0.949642962316942,3.537414965986395,3,35,A,AA,repeating,6,16.889457,1977-04-11 01:09:48.243174,105.78180781191112,247.69771171786667,2.275037536736112,night9,252.8000001297416,0.0184787532569573,127.37575852520511,7.5272639768491745,249.58281391476268,0.0079517063443763
761015-09-M1,770112-06-M1,2,1976-10-15 09:10:51.003290,0.9098639045895264,0.663265306122449,3,35,A,AA,repeating,6,22.050681,1976-10-15 09:10:51.666555,106.76172840333334,248.062074084,2.0700424369791666,night3,456.700000129787,0.0275488635107316,260.50622882080194,3.3621977990852514,352.6245654220936,0.181345627328484
761113-23-M2,770112-06-M1,2,1976-11-13 23:35:55.254422,0.9195887839525956,0.6122448979591837,3,35,B,AA,repeating,6,28.281294,1976-11-13 23:35:55.866667,106.80697283948147,248.7283674073778,2.0926604938310183,night4,397.8000001297736,0.0277901773134018,351.19611527855386,0.0734143965040015,250.91635421354405,0.0241859904142445
