evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new,isol_or_rpt,num_per_family,emergence_s,picktime_SNR,Regolith_Temp_K,Rock_Temp_K,interval_day_number,diurnal_interval,duration_s,PGV,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg,possible_source
761011-11-M2,770406-21-N2,3,1976-10-11 11:38:22.207483,0.851672827230274,0.4591836734693878,3,35,B,BB,repeating,3,1.27211,1976-10-11 11:38:22.666667,302.13581234552595,317.8675160493037,27.71154706790509,sunset2,36.60000012975186,0.013205881852264,155.65902426463862,0.4656114130350284,170.00264279138193,50.73068090745354,GEO4_rock1
761011-11-M2,770406-21-N2,1,1976-10-11 11:38:23.106803,0.8535362684491417,-0.3401360544217687,3,35,B,BB,repeating,3,2.09898,1976-10-11 11:38:22.766667,302.13576641960003,317.8674923456,27.7115482253125,sunset2,96.90000012975038,0.0090207082973067,155.65902426463862,0.4656114130350284,170.00264279138193,50.73068090745354,GEO4_rock1
760911-23-M4,760911-23-M4,4,1976-09-11 23:55:29.633333,1.0,0.0,3,35,B,AA,isolated,1,2.434695,1976-09-11 23:55:29.633333,298.7481738273185,315.06408691365925,27.71562075616898,sunset1,39.80000012975191,0.0199260725588935,146.72933889087795,2.8181176227135545,154.56452086157034,2.5552724441318206,GEO4_rock1
760911-23-M4,760911-23-M4,3,1976-09-11 23:55:30.433333,1.0,0.0,3,35,B,AA,isolated,1,1.541157,1976-09-11 23:55:30.433333,298.74779456805925,315.0638972840296,27.715630015428243,sunset1,42.70000012975195,0.0133266687524866,146.72933889087795,2.8181176227135545,154.56452086157034,2.5552724441318206,GEO4_rock1
760911-23-M4,760911-23-M4,1,1976-09-11 23:55:31.033333,1.0,0.0,3,35,B,AA,isolated,1,3.832314,1976-09-11 23:55:31.033333,298.7475101236148,315.0637550618074,27.715636959872683,sunset1,43.70000012975196,0.0100279256907574,146.72933889087795,2.8181176227135545,154.56452086157034,2.5552724441318206,GEO4_rock1
760911-23-M4,760911-23-M4,2,1976-09-11 23:55:31.533333,1.0,0.0,3,35,B,AA,isolated,1,4.12313,1976-09-11 23:55:31.533333,298.74727308657776,315.0636365432889,27.71564274690972,sunset1,39.90000012975191,0.0048725527606853,146.72933889087795,2.8181176227135545,154.56452086157034,2.5552724441318206,GEO4_rock1
770208-07-N1,770208-07-N1,4,1977-02-08 07:24:56.200000,1.0,0.0,3,35,D,BB,isolated,1,0.487076,1977-02-08 07:24:56.200000,212.2075703703704,285.8390162962963,29.1917962962963,sunset6,50.40000012975206,0.0107217310183406,156.3515792987689,0.5260984874933058,171.8194522816737,1.1318841168338831,GEO4_rock1
770208-07-N1,770208-07-N1,3,1977-02-08 07:24:57.400000,1.0,0.0,3,35,D,BB,isolated,1,1.429933,1977-02-08 07:24:57.400000,212.20588148148147,285.8386251851852,29.191810185185183,sunset6,28.00000012975174,0.0053440792029188,156.3515792987689,0.5260984874933058,171.8194522816737,1.1318841168338831,GEO4_rock1
770208-07-N1,770208-07-N1,1,1977-02-08 07:24:58.100000,1.0,0.0,3,35,D,BB,isolated,1,2.609185,1977-02-08 07:24:58.100000,212.20489629629628,285.83839703703705,29.19181828703704,sunset6,29.000000129751754,0.004036567921254,156.3515792987689,0.5260984874933058,171.8194522816737,1.1318841168338831,GEO4_rock1
760913-12-M6,760913-12-M6,2,1976-09-13 12:26:03.800000,1.0,0.0,3,35,C,BB,isolated,1,0.944899,1976-09-13 12:26:03.800000,185.56556740740743,277.33714962962966,29.236849537037035,sunset1,27.00000012975173,0.0083241935775364,336.01927709687914,0.4312404271285663,327.8355213418312,0.6073524860600693,GEO4_rock1
760913-12-M6,760913-12-M6,3,1976-09-13 12:26:04.700000,1.0,0.0,3,35,C,BB,isolated,1,6.983674,1976-09-13 12:26:04.700000,185.56378074074075,277.336842962963,29.236859953703707,sunset1,37.60000012975188,0.0095312703986603,336.01927709687914,0.4312404271285663,327.8355213418312,0.6073524860600693,GEO4_rock1
760913-12-M6,760913-12-M6,4,1976-09-13 12:26:07.100000,1.0,0.0,3,35,C,BB,isolated,1,1.19932,1976-09-13 12:26:07.100000,185.5590162962963,277.3360251851852,29.23688773148148,sunset1,31.7000001297518,0.0224862237175372,336.01927709687914,0.4312404271285663,327.8355213418312,0.6073524860600693,GEO4_rock1
770408-11-M7,770408-11-M7,4,1977-04-08 11:42:26.100000,1.0,0.0,3,35,C,DD,isolated,1,3.889797,1977-04-08 11:42:26.100000,198.47869333333333,281.59910666666667,29.23780208333333,sunset8,26.800000129751723,0.0084065986972722,-1.0,-1.0,-1.0,-1.0,unclear
