evid,mean_arrival_time,grade,Regolith_Temp_K,Rock_Temp_K,interval_day_number,diurnal_interval,PGV_geo1,PGV_geo2,PGV_geo3,PGV_geo4,PGV_mean_124,PGV_mean_123,PGV_mean_234,PGV_mean_134
761107-06-M1,1976-11-07T06:18:09.334591,A,370.31247880739255,358.1331702585778,24.950108039247684,sunset3,0.0036062472093818,0.0043049056905977,0.0040212736212543,0.0043517879797212,0.0040876469599002,0.0039774755070779,0.004225989097191,0.0039931029367857
761107-07-M1,1976-11-07T07:19:04.433721,A,369.7468330232445,357.8082725581333,24.992412427326386,sunset3,0.0055708684551465,0.0060193518201456,0.0060603324322803,0.0052414748140274,0.0056105650297731,0.0058835175691908,0.0057737196888177,0.005624225233818
761107-07-N1,1976-11-07T07:27:31.000000,D,369.6642814814815,357.76324444444447,24.99827546296296,sunset3,0.0036353838266808,0.004034849655086,0.004036844855225,0.0046161303073787,0.0040954545963818,0.0039023594456639,0.0042292749392298,0.0040961196630948
761107-08-N1,1976-11-07T08:17:17.000000,D,369.1976740740741,357.48782222222223,25.032835648148147,sunset3,0.0034310905717982,0.0026075854829169,0.0034251194191,0.003545218362817,0.0031946314725107,0.0031545984912717,0.0031926410882779,0.0034671427845717
761107-08-M1,1976-11-07T08:35:46.947180,A,369.0167937928889,357.38916025066663,25.04568225902777,sunset3,0.0054461494253821,0.0057072368309476,0.0052432797061661,0.0057949267838579,0.0056494376800625,0.0054655553208319,0.0055818144403238,0.0054947853051353
761107-08-M2,1976-11-07T08:45:55.000000,C,368.9177037037037,357.32762962962966,25.052719907407408,sunset3,0.0033387778106518,0.002410955698069,0.0027957957963395,0.0030715150179716,0.0029404161755641,0.0028485097683534,0.0027594221707933,0.0030686962083209
761107-08-M3,1976-11-07T08:50:51.000000,B,368.8713333333333,357.2988,25.05614583333333,sunset3,0.002484661742846,0.0029108748105343,0.0030766215962973,0.002776878578047,0.0027241383771424,0.0028240527165592,0.0029214583282928,0.0027793873057301
761107-09-M1,1976-11-07T09:41:39.004460,A,368.3827548287408,357.0178662702222,25.091423662731483,sunset3,0.0084546706199908,0.0067881843513121,0.008007587815681,0.0071240859328793,0.0074556469680607,0.0077501475956612,0.0073066193666241,0.007862114789517
761107-09-M2,1976-11-07T09:47:45.333333,B,368.3230567901778,356.9828543210222,25.09566358024305,sunset3,0.0040968724479516,0.0039336416709092,0.0042084859241759,0.0038488484624179,0.0039597875270929,0.0040796666810122,0.0039969920191676,0.0040514022781818
761107-10-M1,1976-11-07T10:01:37.063633,A,368.1875155561037,356.90137212151114,25.10529008834491,sunset3,0.0081400431443645,0.0065094893455993,0.0079451963313683,0.0061653027610586,0.0069382784170074,0.0075315762737773,0.006873329479342,0.0074168474122638
761107-10-M2,1976-11-07T10:13:55.375820,A,368.0671980145185,356.83003510014817,25.11383536828704,sunset3,0.0050950763242757,0.0043339952089771,0.0046598837859982,0.0048409653911061,0.0047566789747863,0.0046963184397503,0.0046116147953604,0.0048653085004599
761107-10-M4,1976-11-07T10:42:26.000000,C,367.77842962962967,356.6636888888889,25.13363425925926,sunset3,0.0045843550928087,0.0037088344553819,0.0049086924371936,0.0040025109295825,0.0040985668259243,0.0044006273284614,0.0042066792740526,0.0044985194865282
761107-10-M3,1976-11-07T10:46:34.910735,A,367.7378663987408,356.6415634902222,25.13651517054398,sunset3,0.024485926131753,0.0191801621186648,0.0237048208086699,0.0304131859384514,0.0246930913962897,0.0224569696863625,0.024432722955262,0.0262013109596247
761107-10-N1,1976-11-07T10:55:16.000000,D,367.65294814814814,356.5927851851852,25.14254629629629,sunset3,0.0037609457357884,0.0025859773575475,0.0036305884884929,0.0030791140467323,0.0031420123800227,0.0033258371939429,0.0030985599642575,0.0034902160903378
