,evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new
21001,761026-18-M1,761226-15-M9,4,1976-10-26 18:28:10.394628,0.7148205378760915,2.534013605442177,3,35,A,AA
21002,761027-01-M1,761226-15-M9,4,1976-10-27 01:21:34.874635,0.8744862584856099,0.2465986394557823,3,35,A,AA
21003,761027-09-M1,761226-15-M9,4,1976-10-27 09:54:43.418949,0.8012598940058705,-0.4336734693877551,3,35,A,AA
21004,761028-00-M1,761226-15-M9,4,1976-10-28 00:33:33.917413,0.6979295454880915,-0.5272108843537415,3,35,A,AA
21005,761028-00-N1,761226-15-M9,4,1976-10-28 00:44:10.216667,0.6926442411861035,-7.916666666666667,3,35,D,AA
21006,761028-01-M1,761226-15-M9,4,1976-10-28 01:02:46.673285,0.7534215763837829,2.1343537414965987,3,35,A,AA
21007,761028-01-M3,761226-15-M9,4,1976-10-28 01:28:59.465646,0.6904901737328542,0.467687074829932,3,35,B,AA
21008,761028-06-M1,761226-15-M9,4,1976-10-28 06:17:45.472379,0.7692670249444913,0.5272108843537415,3,35,A,AA
21009,761028-07-M1,761226-15-M9,4,1976-10-28 07:04:15.568252,0.8343347688671766,0.0510204081632653,3,35,A,AA
21010,761028-09-M2,761226-15-M9,4,1976-10-28 09:50:59.936395,0.6181915630535975,1.9302721088435373,3,35,B,AA
21011,761028-09-M3,761226-15-M9,4,1976-10-28 09:58:43.086394,0.8571013366050911,-0.1530612244897959,3,35,B,AA
21012,761028-10-M1,761226-15-M9,4,1976-10-28 10:01:06.373724,0.7361927195324139,0.7057823129251701,3,35,A,AA
21013,761028-10-M10,761226-15-M9,4,1976-10-28 10:54:13.387721,0.9650485653559102,0.4421768707482993,3,35,A,AA
21014,761028-10-M11,761226-15-M9,4,1976-10-28 10:09:00.542857,0.9122887964585352,0.3571428571428571,3,35,C,AA
21015,761028-10-M2,761226-15-M9,4,1976-10-28 10:04:27.141496,0.6601359841280694,-0.4081632653061224,3,35,B,CC
21016,761028-10-M3,761226-15-M9,4,1976-10-28 10:15:50.818028,0.8636267710643181,-2.1513605442176877,3,35,B,BB
21017,761028-10-M4,761226-15-M9,4,1976-10-28 10:21:09.817628,0.9391576792910404,-0.3656462585034014,3,35,A,AA
21018,761028-10-M5,761226-15-M9,4,1976-10-28 10:26:02.526377,0.9342167399938952,0.3231292517006803,3,35,A,AA
21019,761028-10-M6,761226-15-M9,4,1976-10-28 10:35:09.082933,0.9418531873521948,0.2976190476190476,3,35,A,AA
21020,761028-10-M7,761226-15-M9,4,1976-10-28 10:39:32.217445,0.9544725269705484,0.3231292517006803,3,35,A,AA
21021,761028-10-M8,761226-15-M9,4,1976-10-28 10:43:59.501617,0.9228766190871128,0.2636054421768707,3,35,A,AA
21022,761028-10-M9,761226-15-M9,4,1976-10-28 10:49:14.335774,0.9531188052389152,0.5612244897959184,3,35,A,AA
21023,761028-12-M2,761226-15-M9,4,1976-10-28 12:57:10.468707,0.8505968169320219,0.7312925170068028,3,35,B,AA
21024,761028-12-N1,761226-15-M9,4,1976-10-28 12:34:26.576871,0.956478137077792,0.3231292517006803,3,35,D,AA
21025,761028-12-N2,761226-15-M9,4,1976-10-28 12:39:58.104082,0.9557424655641498,-0.2040816326530612,3,35,D,AA
21026,761028-12-N4,761226-15-M9,4,1976-10-28 12:52:50.225510,0.9477612238376496,-0.0255102040816326,3,35,D,AA
21027,761028-13-M10,761226-15-M9,4,1976-10-28 13:55:00.077211,0.7754743216442879,0.7227891156462586,3,35,B,BB
21028,761028-13-M11,761226-15-M9,4,1976-10-28 13:57:22.352542,0.9291284441225648,0.3061224489795918,3,35,A,AA
21029,761028-13-M12,761226-15-M9,4,1976-10-28 13:11:45.109184,0.8739746612649588,0.7908163265306123,3,35,C,AA
21030,761028-13-M13,761226-15-M9,4,1976-10-28 13:26:15.347619,0.8356191061696965,0.9523809523809524,3,35,C,AA
21031,761028-13-M14,761226-15-M9,4,1976-10-28 13:37:20.480612,0.939582237013119,-0.2806122448979592,3,35,B,AA
21032,761028-13-M3,761226-15-M9,4,1976-10-28 13:21:17.144898,0.5948360958181951,-29.744897959183675,3,35,C,BB
21033,761028-13-M4,761226-15-M9,4,1976-10-28 13:21:23.585374,0.9322471060359164,0.314625850340136,3,35,C,AA
21034,761028-13-M7,761226-15-M9,4,1976-10-28 13:29:05.051284,0.9372680192882192,0.2806122448979592,3,35,A,AA
21035,761028-13-M8,761226-15-M9,4,1976-10-28 13:41:35.446939,0.8138714206925476,1.403061224489796,3,35,A,AA
21036,761028-13-M9,761226-15-M9,4,1976-10-28 13:46:04.964232,0.9330448743938072,0.0,3,35,A,AA
21037,761028-13-N5,761226-15-M9,4,1976-10-28 13:14:00.685374,0.9431656042152464,0.314625850340136,3,35,D,AA
21038,761028-13-N8,761226-15-M9,4,1976-10-28 13:11:31.287755,0.4480999908633062,-29.38775510204082,3,35,D,BB
21039,761028-14-M1,761226-15-M9,4,1976-10-28 14:09:00.488349,0.9419048754020698,0.1785714285714285,3,35,A,AA
21040,761028-14-M2,761226-15-M9,4,1976-10-28 14:14:25.438314,0.8800852784605752,0.6462585034013606,3,35,A,AA
21041,761028-14-M3,761226-15-M9,4,1976-10-28 14:19:45.120123,0.9329149273874964,0.2551020408163265,3,35,A,AA
21042,761028-14-M4,761226-15-M9,4,1976-10-28 14:31:46.132902,0.9406073734095454,0.3316326530612245,3,35,A,AA
21043,761028-14-M6,761226-15-M9,4,1976-10-28 14:38:15.617989,0.7632217371870659,0.5102040816326531,3,35,A,AA
21044,761028-14-M7,761226-15-M9,4,1976-10-28 14:44:08.824350,0.9379398283953032,0.3061224489795918,3,35,A,AA
21045,761028-14-M8,761226-15-M9,4,1976-10-28 14:56:24.286979,0.9358790151484818,0.4506802721088436,3,35,A,AA
21046,761028-15-M1,761226-15-M9,4,1976-10-28 15:09:31.480679,0.8778893747418094,0.2976190476190476,3,35,A,AA
21047,761028-15-M2,761226-15-M9,4,1976-10-28 15:13:32.715949,0.9284446820301442,0.2976190476190476,3,35,A,AA
21048,761028-15-M3,761226-15-M9,4,1976-10-28 15:27:55.965374,0.9434703373214044,-0.5357142857142858,3,35,A,AA
21049,761028-15-M4,761226-15-M9,4,1976-10-28 15:41:16.084186,0.8771405413901113,0.6802721088435375,3,35,A,AA
21050,761028-15-M5,761226-15-M9,4,1976-10-28 15:47:20.885989,0.9399383426161696,0.0,3,35,A,AA
21051,761028-16-M1,761226-15-M9,4,1976-10-28 16:08:33.129033,0.9433945994500113,0.0255102040816326,3,35,A,AA
21052,761028-16-M2,761226-15-M9,4,1976-10-28 16:32:20.863265,0.9310536653861742,0.1700680272108843,3,35,B,AA
21053,761028-16-M3,761226-15-M9,4,1976-10-28 16:44:04.323810,0.6591040632310884,-17.023809523809526,3,35,C,AA
21054,761028-17-M1,761226-15-M9,4,1976-10-28 17:29:35.711556,0.8021874835510695,1.2500000000000002,3,35,A,AA
21055,761028-17-M2,761226-15-M9,4,1976-10-28 17:39:05.945238,0.6256863003520462,3.154761904761905,3,35,C,BB
21056,761028-17-M3,761226-15-M9,4,1976-10-28 17:14:54.218027,0.6842334928295971,-6.318027210884354,3,35,C,AA
21057,761028-23-M1,761226-15-M9,4,1976-10-28 23:13:11.713946,0.6053686180120479,-3.613945578231293,3,35,C,CC
21058,761028-23-M2,761226-15-M9,4,1976-10-28 23:27:39.936304,0.717217660436806,-3.537414965986395,3,35,A,BB
21059,761028-23-M3,761226-15-M9,4,1976-10-28 23:47:24.265869,0.7439622232353132,1.862244897959184,3,35,A,AA
21060,761028-23-M4,761226-15-M9,4,1976-10-28 23:56:00.640476,0.6948171195358991,0.0595238095238095,3,35,C,BB
21061,761028-23-N2,761226-15-M9,4,1976-10-28 23:50:40.215306,0.6716649922913184,-14.51530612244898,3,35,D,DD
21062,761029-00-M1,761226-15-M9,4,1976-10-29 00:17:41.001961,0.6846210843184597,-5.850340136054422,3,35,A,AA
21063,761029-00-N3,761226-15-M9,4,1976-10-29 00:39:03.412245,0.5776456450433038,1.8877551020408163,3,35,D,DD
