,evid,evid_ref,avg_picktime_SNR,grade_new,isol_or_rpt,avg_temp_Regolith_K,avg_temp_Rock_K,avg_interval_day,avg_PGV,avg_duration_s,avg_emergence_s,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg
3997,770105-00-M4,770105-00-M4,1977-01-05 00:24:07.550000,AA,isolated,377.9084385185185,363.5742192592593,24.524566550925925,0.0061311656444348,363.5742192592593,36.2535725,350.5464728323634,0.2697455722087996,226.64215217049704,0.0182480153892455
3998,770105-00-N1,770105-00-N1,1977-01-05 00:07:24.700000,DD,isolated,378.0372948148148,363.6436474074074,24.512959490740744,0.003805963049673,363.6436474074074,67.218369,-1.0,-1.0,-1.0,-1.0
3999,770105-01-M1,770105-01-M1,1977-01-05 01:02:22.307512,AA,isolated,377.62102566506667,363.4182336289185,24.55112624435185,0.0069539840300184,363.4182336289185,31.8709195,256.5781383531514,8.499905799231605,55.32666282182545,2.7154394486649145
4000,770105-01-M2,770105-01-M2,1977-01-05 01:08:13.233917,AA,isolated,377.5742354777333,363.3967974876296,24.55518789255787,0.0066286749331032,363.3967974876296,22.93503525,163.6290386523505,0.9862194323006924,221.08481705582287,0.0719584953801876
4001,770105-01-M3,770105-01-M3,1977-01-05 01:28:55.066271,AA,isolated,377.4086578305333,363.3048099058519,24.569560952210647,0.0046380560380432,363.3048099058519,21.696684750000003,112.4128447969808,0.6207927622246672,30.98292117935529,3.022021470392398
4002,770105-02-M1,770105-02-M1,1977-01-05 02:55:24.816667,AA,isolated,376.7366911110667,362.9403839505927,24.629627507719903,0.0049368022785056,362.9403839505927,33.43503525,100.20107935169612,1.916042177149928,175.29062492291672,22.340578045841607
4003,770105-02-M2,770105-02-M2,1977-01-05 02:05:53.875000,AA,isolated,377.1228166666666,363.1504537037037,24.5952416087963,0.0058235796311973,363.1504537037037,16.47449075,53.88921443346153,0.2324376495835494,101.0781971325411,0.0790820403579392
4004,770105-04-M1,770105-04-M1,1977-01-05 04:29:55.996525,AA,isolated,375.9705337966667,362.5202965537037,24.6952661634838,0.0049475164311275,362.5202965537037,3.637246,127.75811410010942,0.3052750213307341,205.5195328318777,0.3072360738618163
4005,770105-04-M2,770105-04-M2,1977-01-05 04:22:40.441667,AA,isolated,376.0286077777333,362.5525598765185,24.69022501929398,0.0041823210999779,362.5525598765185,39.9818035,341.9085478105236,4.202535348814812,45.62937868125793,0.323582173441619
4006,770105-04-N1,770105-04-N1,1977-01-05 04:13:40.200000,AA,isolated,376.10064,362.5925777777778,24.68397222222222,0.0042000159885656,362.5925777777778,31.12483125,120.22202142172478,2.1012867377386057,15.27491459787576,2.798033608312969
