,evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,Regolith_Temp_K,Regolith_Temp_K_per_sec,Rock_Temp_K,Rock_Temp_K_per_sec,deltat_AU,deldot_kms,mean_abs_amp_nms
5629,761226-16-M2,761226-16-M2,geo4,1976-12-26T16:05:26.574504,1.0000000000000002,-0.0,5,35,A,218.51177562026663,0.0013629629629629,221.3970865344,0.0002666666666666,0.0026099929684617,0.0400366728397786,46.62518347083756
5630,770125-06-M10,761226-16-M2,geo4,1977-01-25T06:45:54.795039,0.9290531424571664,-0.2807754612407561,5,35,A,219.003060052,0.0013333333333333,221.7554237887556,0.0002814814814814,0.0026560219277429,0.0395995489568018,53.43607340988991
5631,770423-23-M4,761226-16-M2,geo4,1977-04-23T23:19:03.314210,0.8609719583253634,-0.0509692665478091,5,35,A,211.5596515314074,0.001437037037037,220.0048837893333,0.0002666666666666,0.0026849649861767,-0.0200187140637516,44.091483981991885
5632,761017-10-M1,770115-04-M2,geo1,1976-10-17T10:12:41.158064,0.8390606953602735,-7.699542875616539,5,35,A,98.1807805018074,-2.962962962962373e-05,236.9115610036148,-5.925925925928958e-05,0.0025588626924007,-0.0086854706623665,13.48973412367924
5633,761216-11-M2,770115-04-M2,geo1,1976-12-16T11:46:14.472000,0.9076870214725646,0.6682248725453471,5,35,A,95.9044600888889,-2.962962962962373e-05,234.5966901333333,-4.444444444444613e-05,0.0024465140666049,-0.0399656618911417,16.257530345956862
5634,770316-05-M1,770115-04-M2,geo1,1977-03-16T05:30:31.144263,0.8198784442237452,4.657067107034403,5,35,A,93.52241054035557,-2.962962962962373e-05,231.2986158105333,-4.444444444444613e-05,0.0025483239704725,0.0358305995943399,14.501617299905202
5635,770413-02-M1,770115-04-M2,geo1,1977-04-13T02:23:14.238410,0.8609855189836146,-2.463249918808313,5,35,A,97.55535589896296,-2.962962962962373e-05,236.9307117979259,-5.925925925928958e-05,0.0025683898644204,0.0230846286182109,12.679716438462137
5636,770115-04-M2,770115-04-M2,geo1,1977-01-15T04:20:02.699543,1.0,5.2447731385337796e-18,5,35,B,95.75769779131852,-2.962962962964479e-05,234.6265466869777,-4.444444444444613e-05,0.0024459417659975,-0.0084128277831085,16.36432033288968
5637,761017-10-M1,770115-04-M2,geo2,1976-10-17T10:12:35.743563,0.8791942558184942,0.721278967883261,5,35,A,98.18094093146668,-2.962962962962373e-05,236.9118818629333,-5.925925925928958e-05,0.0025588652390015,-0.0091239700262671,13.292587369021115
5638,761216-11-M2,770115-04-M2,geo2,1976-12-16T11:46:09.054236,0.9265413704997364,4.861282700830098,5,35,A,95.90462061522965,-2.962962962962373e-05,234.59693092284445,-4.444444444444613e-05,0.0024465156510779,-0.0402440023617723,15.992605425983347
5639,770115-04-M2,770115-04-M2,geo2,1977-01-15T04:19:57.278721,0.9999999999999998,5.4399169940981664e-18,5,35,B,95.75785840826669,-2.962962962964479e-05,234.6267876124,-4.444444444444613e-05,0.0024459422684973,-0.0085113764381975,16.02300974682499
5640,770316-05-M1,770115-04-M2,geo2,1977-03-16T05:30:25.720617,0.824325701484419,1.704243418789103,5,35,A,93.52257124097778,-2.962962962962373e-05,231.29885686146667,-4.444444444444613e-05,0.0025483226278698,0.0360383557347937,14.260786460403132
5641,770413-02-M1,770115-04-M2,geo2,1977-04-13T02:23:08.826483,0.8766509417510041,7.685645674585373,5,35,A,97.55551625235556,-2.962962962962373e-05,236.9310325047111,-5.925925925928958e-05,0.0025683881257585,0.0233582663495888,12.514567546222803
5642,761017-10-M1,770115-04-M2,geo3,1976-10-17T10:12:39.194564,0.8431378895905329,-6.737931053934042,5,35,A,98.18083867958518,-2.962962962962373e-05,236.9116773591704,-5.925925925928958e-05,0.0025588636158931,-0.008844486885841,14.720870993245684
5643,761216-11-M2,770115-04-M2,geo3,1976-12-16T11:46:12.510427,0.8954417709726368,6.510764385542605,5,35,A,95.90451820957036,-2.962962962962373e-05,234.5967773143556,-4.444444444444613e-05,0.0024465146402843,-0.0400664387341338,17.79767222126134
5644,770115-04-M2,770115-04-M2,geo3,1977-01-15T04:20:00.737931,1.0,5.328987712725571e-18,5,35,B,95.75775591315556,-2.962962962964479e-05,234.62663386973333,-4.444444444444613e-05,0.0024459419478352,-0.00844848920575,17.28934239875966
5645,770316-05-M1,770115-04-M2,geo3,1977-03-16T05:30:29.178449,0.8019256893378174,4.545365212086186,5,35,A,93.5224687866963,-2.962962962962373e-05,231.29870318004444,-4.444444444444613e-05,0.0025483234838428,0.0359059013248529,15.629759601496453
